time,open,high,low,close,volume
1598140800,11665.18,11713.86,11516.01,11647.91,1511663836.28
1598227200,11647.91,11823.68,11589.17,11751.04,1831164727.92
1598313600,11751.04,11766.04,11121.1,11320.57,2639671125.56
1598400000,11320.57,11535.98,11244.47,11461.44,2423016135.06
1598486400,11461.44,11582.96,11128.17,11328.38,2461866788.91
1598572800,11328.38,11540.02,11279.59,11527.26,2160733048.23
1598659200,11527.26,11577.68,11425.58,11467.41,1511170450.13
1598745600,11467.41,11716.03,11460.54,11711.35,1673862696.89
1598832000,11711.35,11777.24,11571.61,11651.19,2068436896.42
1598918400,11651.19,12048.68,11541.11,11923.36,2806421100.85
1599004800,11923.36,11951.13,11200.85,11387.96,2992490707.51
1599091200,11387.96,11457.29,10094.38,10141.76,3392087802.49
1599177600,10141.76,10620.7,10014.83,10448.99,1983815489.64
1599264000,10448.99,10562.3,9882.6,10166.28,2828378964.92
1599350400,10166.28,10344.79,9998.34,10255.38,2071633267.73
1599436800,10255.38,10401.62,9879.31,10372.41,2094875822.54
1599523200,10372.41,10435.31,9858.44,10126.46,2383099413.77
1599609600,10126.46,10339.58,9982.68,10219.76,1722156418.24
1599696000,10219.76,10479.35,10206.31,10337.34,2102757677.34
1599782400,10337.34,10396.32,10205.28,10387.75,1668597725.23
1599868800,10387.75,10477.08,10273.19,10440.57,1391717383.79
1599955200,10440.57,10576.54,10215.07,10330.02,1636732270.42
1600041600,10330.02,10745.25,10248.11,10672.27,2159227110.42
1600128000,10672.27,10928.29,10616.09,10785.49,2214381862.19
1600214400,10785.49,11091.33,10668,10953.24,2404894975.02
1600300800,10953.24,11040,10751.2,10938.96,2064404584.72
1600387200,10938.96,11038.38,10817.51,10931.95,1657355773.62
1600473600,10931.95,11174.58,10890.13,11080.31,1378638888.06
1600560000,11080.31,11080.31,10755.85,10919.85,1454738673.42
1600646400,10919.85,10984.06,10337.38,10417.19,1786085990.54
1600732800,10417.19,10570,10361.81,10529.14,1938966460.93
1600819200,10529.14,10535.26,10142.13,10239.8,1854776299.22
1600905600,10239.8,10781.41,10198.86,10734.63,2011655286.63
1600992000,10734.63,10757.05,10558.45,10687.08,1828835850.58
1601078400,10687.08,10813.84,10646.65,10728.81,1366554634.54
1601164800,10728.81,10797.66,10597.85,10773.86,1320759930.18
1601251200,10773.86,10945.41,10651.88,10695.94,1920451763.43
1601337600,10695.94,10861.44,10639.69,10840.32,1741687711.69
1601424000,10840.32,10847,10667.74,10775.97,1623553069.91
1601510400,10775.97,10912.51,10454.04,10619.82,1984981768.61
1601596800,10619.82,10663.5,10378.07,10570.29,2020825027.54
1601683200,10570.29,10596.32,10499.79,10541.94,1202324369.79
1601769600,10541.94,10693.66,10519.25,10668.08,1136726556.27
1601856000,10668.08,10795.5,10619.83,10790.03,1492829941.14
1601942400,10790.03,10798.41,10530.46,10600.36,1636179839.06
1602028800,10600.36,10680.26,10551.14,10667,1284916687.17
1602115200,10667,10945.15,10534.79,10924.26,1836226016.53
1602201600,10924.26,11098.6,10833.2,11051.03,1711751177.33
